name	status	comment	aliases
00136	new		
1015c	ok		
10326	ok		
1064Sk	ok		
1066	new		
106A	ok		
10T1/2	ok		10T12
11.9	new		
1125	new		
1127	new		
116	new		
1184	new		
12.1	new		
12Z endometriotic epithelial cells	new		
131.2F8.5.9	new		
133	new		
1346	new		
143B	new		
1508	new		
1517	new		
1522	new		
153BR	new		
155	new		
1552	new		
162	new		
168	new		
1691B	new		
16HBE14o-	new		
16T	ok		
1765-92	new		
1806	new		
184	new		
191	new		
1919	new		
1953	new		
198	new		
20.3	new		
200-3-G6-4	ok		2003G64
200212	new		
2008/C13*5.25	new		
207	new		
2097	new		
2102EP	new		
2188-1	new		
219	new		
21NT	ok		
2223	new		
2229	new		
2235	new		
225	new		
226LDM	new		
22RV1	ok		
2305	new		
232	new		
2356	new		
2455	new		
2481	new		
2489	new		
2510	new		
2519	new		
2545	new		
2566	new		
2576	new		
25L	ok		
2647	new		
266.6	ok		
2687	new		
2726	new		
2894	new		
2907	new		
293 Flp-In	new		
293FT	ok		
293T	ok		
293T-Rex	ok		293TRex
296	new		
2989	new		
2997	new		
29c	new		
2A3	new		
2N1	ok		
2TS22C	ok		
3.2N	ok		
3028	new		
3038	new		
3057	new		
3069	new		
3094	new		
3117	new		
3126	new		
3128	new		
3134	ok		
3136	new		
3145	new		
3164	new		
32.2	new		
3214	new		
3226	new		
3264	new		
3274	new		
3291	new		
3295	new		
32D Myeloid	new		
3332	new		
3335	new		
3363	new		
3367	new		
3381	new		
3388	new		
3438	new		
3463	new		
3545	new		
3565	new		
3570	new		
3617-KOGR	new		
3655	new		
3665	new		
3679	new		
3688	new		
372	new		
3752	new		
38.1	new		
380	new		
38B9	ok		
3C10	ok		
3T3	new		
3T3-L1	ok		3T3L1
3T3F442A	new		
3T9	new		
402-91	new		
416B	ok		
451Lu	ok		
455	new		
46C	ok		
4T1	new		
5.3S	ok		
501-Mel	ok		501Mel
514	new		
528	new		
548	new		
5637	ok		
579	new		
591	new		
601	new		
633	new		
6540 cells	ok		6540cells
688M	new		
697	ok		
70Z/3	ok		70Z3
7250	ok		
7298-2	ok		72982
7438	ok		
748T	ok		
751-NA-15	new		
76NF2V	new		
786-0	ok		7860
786-M1A	new		
786-O	ok		786O
8.03	new		
8946	ok		
8988t	ok		
9.4	new		
90-8TL	ok		908TL
911	new		
92-2	new		
961C	ok		
97L	new		
A-172	ok		A172
A-498	new		
A17Lox	new		
A1847	new		
A20	ok		
A2780	ok		
A2B5+ iOPCs(H)	new		
A3.01	ok		
A375	ok		
A498	new		
A549	ok		
A673	ok		
A9 [Mouse hybridoma]	new		
AB32	ok		
AC16	ok		
ACC112	ok		
ACH2	ok		
ACHN	ok		
AG04449	ok		
AG04450	ok		
AG08470	ok		
AG09309	ok		
AG09319	ok		
AG10803	ok		
AG18359	ok		
AGS	ok		
ALL-SIL	ok		SIL-ALL|ALLSIL
AML12	new		
ARP-1	new		
AT-3	ok		AT3
ATCC CRL-4003	new		
ATL-2	new		
AU565	new		
Abl1/S1Cs-A5	ok		Abl1S1CsA5
Ainv15	ok		
Akata	ok		
AmacFibr_F_N-fG140.02	new		
Amac_I_N-rG79.04	new		
Amac_M_Y-30.02	new		
American Type Culture Collection (Catalog Number: PCS-201-012)	new		
AoSMC	ok		
AsPC-1	new		
Aska	new		
AtT-20	ok		AtT20
B1 NIH	new		
B16-BL6	new		
B16-F10	new		
B3	ok		
B6.2	new		
BC-3	new		
BCBL1	ok		BCBL-1
BCL1	ok		
BE2-C	ok		BE(2)_C|BE2C|BE2
BEAS-2B	ok		BEAS2B
BEC	ok		
BG01	ok		
BG01V - ATCC SCRC-2002	new		
BG03	ok		
BGC823	ok		
BHY	new		
BICR16	new		
BICR31	new		
BICR6	new		
BIN-67	new		
BIV1	ok		
BJ	ok		
BJ-tert	ok		BJtert
BJAB	ok		
BJEL	ok		
BJELM	ok		
BL-2	new		
BL-41	ok		BL41
BLM	ok		
BMiFLT3(15-3)	ok		BMiFLT3(153
