name	issn	impact_factor
ACS Chem. Biol.		0.0
AIDS		0.0
Acta Neuropathol.		0.0
Aging Cell		0.0
Am. J. Hum. Genet.		10.603
Am. J. Pathol.		4.89
Am. J. Physiol. Heart Circ. Physiol.		0.0
Am. J. Physiol. Lung Cell Mol. Physiol.		0.0
Am. J. Respir. Cell Mol. Biol.		0.0
Anal. Chem.		0.0
Angew. Chem. Int. Ed. Engl.		0.0
Ann. Rheum. Dis.		8.727
Arch. Toxicol.		0.0
Arterioscler. Thromb. Vasc. Biol.		0.0
BMB Rep		0.0
BMC Bioinformatics		0.0
BMC Biol.		0.0
BMC Cancer		0.0
BMC Dev. Biol.		3.148
BMC Genomics		4.073
BMC Med Genomics		0.0
BMC Res Notes		0.0
BMC Syst Biol		3.148
Biochim Biophys Acta Gene Regul Mech		0.0
Biochim. Biophys. Acta		0.0
Bioinformatics		5.468
Biol Open		0.0
Biol. Reprod.		0.0
Biomed Res Int		0.0
Biophys. J.		0.0
Blood		9.898
Blood Adv		0.0
Blood Cancer J		0.0
Bone		0.0
Bone Res		0.0
Brain		0.0
Breast Cancer Res. Treat.		0.0
Cancer Cell		26.566
Cancer Discov		10.143
Cancer Discov.	 	10.143
Cancer Lett.		0.0
Cancer Res.		7.856
Cancer Sci.		0.0
Cancers (Basel)		0.0
Carcinogenesis		0.0
Cardiovasc. Res.		0.0
Cell		32.403
Cell Cycle		5.359
Cell Death Differ.		0.0
Cell Death Dis		0.0
Cell Discov		0.0
Cell Host Microbe		13.5
Cell Metab.		13.668
Cell Mol Gastroenterol Hepatol		0.0
Cell Rep		2.286
Cell Res.	1001-0602	8.19
Cell Stem Cell		25.421
Cell Syst		0.0
Cell. Mol. Immunol.		0.0
Cereb. Cortex		0.0
Chem. Biol.		0.0
Circ Cardiovasc Genet		0.0
Circ Heart Fail		0.0
Circ. Res.		0.0
Circulation		0.0
Circulation Research	 	14.739
Clin Epigenetics		0.0
Clin. Cancer Res.		0.0
Commun Biol		0.0
Curr. Biol.		0.0
DNA Res.		0.0
Database (Oxford)		0.0
Dev. Biol.		4.069
Dev. Cell		14.03
Dev. Growth Differ.		0.0
Development	1477-9129	6.596
Diabetologia		0.0
EBioMedicine		0.0
EMBO J.		9.205
EMBO Mol Med		0.0
EMBO Rep.		7.355
Electrophoresis		3.303
Elife		0.0
Endocrinology		0.0
Environ. Health Perspect.		0.0
Epigenetics		4.318
Epigenetics Chromatin	1756-8935	4.46
Epigenomics		0.0
Eur. J. Immunol.		0.0
Exp. Cell Res.		0.0
Exp. Hematol.		0.0
FASEB J.		5.712
