name	status	comment	aliases
1-cell pronuclei	new		
3565 cells	new		
3T3 cells ectopically expressing Dppa4	new		
ABC-Like DLBCL cell line	new		
AID-deficient CH12F3 murine lymphoma cells	new		
AML	new		
AML cell	new		
Activated Treg	ok		
Acute myeloid leukemia	new		
Adipocyte	ok		
Adipose Progenitor	ok		
Alveolar type II (AT2) cells	new		
Anterior Caudate Cell	ok		
Anterior Primitive Streak	ok		
AsPC1	new		
Astrocyte	ok		
B Lymphoblast	new		
B Lymphocyte	ok		B cell|B cells|B-cell
B cell lymphoma	new		
B cell precursor	ok		pre-B|preB
B-ALL	new		
BM LSK cell	new		
BM-derived MSPCs	new		
BM-derived cultured cells	new		
BM-derived immortalised cells	new		
BMDM	new		
Basophil cell	ok		
Beta cell	ok		
BirA cells	new		
Blast Cells	new		
Blastema Cell	ok		
Blasts	new		
Bone cells	new		
Breast Cancer Cell	new		
Breast Stem Cell	ok		
Bulk	new		
Bulk_B	new		
Burkitt lymphoma	new		
Burkitt's lymphoma	new		
C cell	new		
CD11b+ cell	new		
CD14 cell	new		
CD36 Cell	new		
CD4 Cell	new		
CD8T	new		
CD8pos_T	new		
CLL IGHV mutated	new		
CLL IGHV unmutated	new		
CLP	new		
CML cell line	new		
Cancer stem cell	ok		
Cardiac Precursors	ok		
Cardiac Progenitor Cells	new		
Cardiac Ventricles	new		
Cardiomyocyte	ok		
Cas9-expressing mouse PDA primary tumor organoid (T6-Cas9)	new		
Cell Line	new		
Cervical Carcinoma	ok		
Chemically induced neural stem-like cells	new		ciNSLCs
Chondrocyte	ok		
Cited1-RFP+ cap mesenchyme	new		
Colon cancer cell	new		
Colorectal cancer cell line	new		
Colorectal cancer cells	new		
Compromises GMP, CMP and MEP	ok		
Cone Photoreceptor	ok		
Control Line 1 5iLAF 5% O2 SSEA4 Minus Reversion 1	new		
Control Line 1 5iLAF 5% O2 SSEA4 Plus Reversion 1	new		
Control Line 1 5iLAF SSEA4 Minus	new		
Control Line 1 5iLAF SSEA4 Plus	new		
Control mouse villus cells	new		
Cortex	ok		
Cortical Neuron	ok		
Corticotroph	ok		
Crypt cells	new		
Cumulus cell	new		
Cytotrophoblast	new		
D425 sensitive	new		
D425 tolerant	new		
DDLPS primary tissue	new		
Day1 epiblast-like cell	new		
Day2 epiblast-like cell	new		
Dendritic Cell	ok		
