name	status	comment	aliases
1st and 2nd pharyngeal arches	new		
22Rv1 xenografts	new		
3T3L1 cells	new		
A549 cells and Hepa1-6 cells	new		
ALL xenograft cells	new		
AML12 cells	new		
ARP1 myeloma cell line	new		
Adherent HeLa cells	new		
Adipose	ok		
Adrenal Gland	ok		
Alveoli	ok		
Ammon's horn	new		
Amnion	ok		
Amniotic Membrane	ok		
Angular Gyrus	ok		
Aorta	ok		
Artery	ok		
Astrocytoma	new		
Atria	ok		
Atrioventricular junction (AVJ)	new		
B-lymphocytes	new		
BAT	new		
Basal ganglia	new		
Basal ganglia and septum	ok		
Blastocyst	new		
Blood	ok		PBMC
Bone	ok		
Bone Marrow	ok		
Brain	ok		
Brain Striatum	ok		
Breast	ok		
Bronchia	ok		
C2C12 cells	new		
CRC107 organoid	new		
CRC121 organoid	new		
CRL-1821 cell line	new		
Caecum	ok		
Caput Epididymis	ok		
Cartilage	ok		
Cerebellar	ok		
Cerebellum	ok		
Cerebrum	ok		
Cervix	ok		
Chronic Lymphocytic Leukemia (CLL) cell line	new		
Cingulate Gyrus	ok		
Clear cell renal cell carcinoma tumor	new		
Colon	ok		
Colon Crypt	ok		
Colonic Mucosa	ok		
Connective Tissue	ok		
Cord blood	ok		
Cornea	ok		
Corneal Epithelium	ok		
Coronary artery smooth muscle	ok		HCASMC
Cranial	ok		
Craniofacial Tissue	ok		
Cultured cells	new		
Duodenum	ok		
Duodenum Mucosa	ok		
E14.5 Liver	new		
ES-derived progenitors	new		
Ectoderm	ok		
Embryo	ok		
Embryo Forelimb Bud	ok		
Embryo Trunk	ok		
Embryonic Brain	ok		
Embryonic Gonad	ok		
Embryonic Heart	ok		
Embryonic Hindlimb Bud	ok		
Embryonic Kidney	ok		
Embryonic Limb	ok		
Embryonic Liver	ok		
Embryonic Lung	ok		
Embryonic Midbrain	ok		
Embryonic Palate	new		
Embryonic atrioventricular canal	ok		
Embryonic flank	ok		
Embryonic genital tubercle	ok		
Embryonic testes	ok		
Embryonic vertebral column	ok		
Endoderm	ok		
Endometrium	ok		
Epididymal White Adipose Tissue	ok		
Epididymis	ok		
Esophagus	ok		
Eye	ok		
FFPE	new		
Face	ok		
Fallopian tube secretory	ok		
Fetal Adrenal Gland	ok		
Fetal Brain	ok		
Fetal Heart	ok		
Fetal Kidney	ok		
Fetal Kidney Left	ok		
Fetal Kidney Right	ok		
Fetal Large Intestine	ok		
Fetal Liver	ok		
Fetal Lung	ok		
Fetal Lung Left	ok		
Fetal Lung Right	ok		
Fetal Muscle Arm	ok		
Fetal Muscle Back	ok		
Fetal Muscle Leg	ok		
Fetal Muscle Lower Limb	ok		
Fetal Muscle Trunk	ok		
Fetal Muscle Upper Trunk	ok		
Fetal Ovary	ok		
Fetal Placenta	ok		
Fetal Renal Pelvis	ok		
Fetal Renal Pelvis Left	ok		
Fetal Renal Pelvis Right	ok		
Fetal Skin	ok		
Fetal Skin Abdomen	ok		
Fetal Skin Back	ok		
Fetal Skin Biceps Left	ok		
Fetal Skin Biceps Right	ok		
Fetal Skin Quadriceps Left	ok		
Fetal Skin Quadriceps Right	ok		
Fetal Skin Scalp	ok		
Fetal Skin Upper Back	ok		
Fetal Small Intestine	ok		
Fetal Spinal Cord	ok		
Fetal Stomach	ok		
Fetal Testis	ok		
Fetal Thymus	ok		
Fetal epididymis	ok		
Fetal spleenocytes	new		
Forearm Skin Biopsy	ok		
Forebrain	ok		
Forelimb	ok		
Forelimb And Hindlimb	ok		
Forelimb And Hindlimb Autopod	ok		
Forelimb Autopod	ok		
Forelimb Bud	ok		
Foreskin	ok		
Frontal	ok		
GBM12-3080	new		
GBM12-5199	new		
Gastric Cancer Line	new		
Gastric Primary Sample	new		
Gastrointestinal stromal tumor (GIST) cell line	new		
Gingiva	ok		
Globus Pallidus	ok		
HCT116	new		
HPC7 cells	new		
Haematopoietic and lymphoid	new		
HeLa cells	new		
HeLa contaminant	new		
Head and neck 	ok		
Heart	ok		
Hematologic malignancy	new		
Hematopoietic System	new		
HepG2 cells	new		
Hepatocarcinoma tissue	new		
Hindbrain	ok		
Hindlimb	ok		
Hindlimb Autopod	ok		
Hindlimb Bud	ok		
Hippocampus	ok		
Human-Derived ALL Cell Line	new		
Hypothalamus	ok		
Ileum	ok		
In vitro cultured cell line	new		
Intestinal Crypt	ok		
Intestine	ok		
Iris Pigment	ok		
Islet	new		
Islets	new		
